id,order_time,count,bus_id,actual_pay,actual_gain,status,pickup_node,dropoff_node
1,2023-12-18T06:30:00.0,2,-1,-1,3.11426812,-1,32,10
2,2023-12-18T06:30:00.0,1,-1,-1,1.1708951600000002,-1,17,11
3,2023-12-18T06:30:00.0,1,-1,-1,2.49466822,-1,31,42
4,2023-12-18T06:30:00.0,1,-1,-1,1.1973307,-1,31,22
5,2023-12-18T06:30:00.0,1,-1,-1,1.9266365,-1,40,15
6,2023-12-18T06:30:00.0,1,-1,-1,1.9465498000000003,-1,25,46
7,2023-12-18T06:30:00.0,1,-1,-1,1.5987305399999998,-1,31,2
8,2023-12-18T06:30:00.0,1,-1,-1,4.018001700000001,-1,43,64
9,2023-12-18T06:30:00.0,1,-1,-1,2.6144653600000005,-1,20,65
10,2023-12-18T06:30:00.0,1,-1,-1,2.3243400600000004,-1,12,56
11,2023-12-18T06:30:00.0,1,-1,-1,4.6099139,-1,38,12
12,2023-12-18T06:30:00.0,1,-1,-1,2.43595,-1,10,55
13,2023-12-18T06:30:00.0,1,-1,-1,1.29255936,-1,35,7
14,2023-12-18T06:30:00.0,1,-1,-1,2.80906358,-1,12,16
15,2023-12-18T06:30:00.0,1,-1,-1,3.882353039999999,-1,7,59
16,2023-12-18T06:30:00.0,2,-1,-1,4.844627679999999,-1,50,27
17,2023-12-18T06:30:00.0,1,-1,-1,1.57645396,-1,53,26
18,2023-12-18T06:30:00.0,1,-1,-1,3.7016868200000013,-1,3,64
19,2023-12-18T06:30:00.0,1,-1,-1,1.3849981800000002,-1,56,52
20,2023-12-18T06:30:00.0,1,-1,-1,4.17439786,-1,59,52
21,2023-12-18T06:30:00.0,1,-1,-1,2.5058826199999995,-1,3,39
22,2023-12-18T06:30:00.0,1,-1,-1,2.05192904,-1,9,17
23,2023-12-18T06:30:00.0,1,-1,-1,2.0810529399999997,-1,52,12
24,2023-12-18T06:30:00.0,1,-1,-1,1.8770600800000001,-1,7,1
25,2023-12-18T06:30:00.0,1,-1,-1,1.29800144,-1,44,53
26,2023-12-18T06:31:00.0,1,-1,-1,5.706620300000002,-1,29,50
27,2023-12-18T06:31:00.0,1,-1,-1,1.6208764000000002,-1,1,17
28,2023-12-18T06:31:00.0,1,-1,-1,1.33160594,-1,2,18
29,2023-12-18T06:31:00.0,1,-1,-1,2.2848041399999994,-1,15,54
30,2023-12-18T06:31:00.0,1,-1,-1,2.34185052,-1,1,65
31,2023-12-18T06:31:00.0,1,-1,-1,2.4524662999999998,-1,33,8
32,2023-12-18T06:31:00.0,1,-1,-1,3.684051660000001,-1,14,65
33,2023-12-18T06:31:00.0,1,-1,-1,2.7507822400000004,-1,3,36
34,2023-12-18T06:31:00.0,1,-1,-1,1.06318876,-1,30,35
35,2023-12-18T06:31:00.0,1,-1,-1,1.9606967999999998,-1,29,15
36,2023-12-18T06:31:00.0,1,-1,-1,2.02894984,-1,25,54
37,2023-12-18T06:31:00.0,1,-1,-1,2.6326526400000003,-1,18,32
38,2023-12-18T06:31:00.0,2,-1,-1,1.7282671799999998,-1,26,52
39,2023-12-18T06:31:00.0,1,-1,-1,1.67161382,-1,54,50
40,2023-12-18T06:31:00.0,1,-1,-1,3.0411191000000004,-1,34,64
41,2023-12-18T06:31:00.0,1,-1,-1,1.4769201400000003,-1,1,8
42,2023-12-18T06:31:00.0,1,-1,-1,1.0413249800000002,-1,11,53
43,2023-12-18T06:31:00.0,2,-1,-1,2.66678432,-1,1,50
44,2023-12-18T06:31:00.0,1,-1,-1,2.34185052,-1,1,65
45,2023-12-18T06:32:00.0,1,-1,-1,2.18780818,-1,52,1
46,2023-12-18T06:32:00.0,1,-1,-1,1.8426678200000002,-1,46,57
47,2023-12-18T06:32:00.0,1,-1,-1,1.88631368,-1,45,53
48,2023-12-18T06:32:00.0,1,-1,-1,2.849649559999999,-1,61,35
49,2023-12-18T06:32:00.0,1,-1,-1,2.4193949999999997,-1,10,34
50,2023-12-18T06:32:00.0,1,-1,-1,3.38521026,-1,9,59
51,2023-12-18T06:32:00.0,1,-1,-1,3.2106896,-1,45,30
52,2023-12-18T06:32:00.0,1,-1,-1,0.9332083600000002,-1,46,1
53,2023-12-18T06:32:00.0,1,-1,-1,1.9821417599999998,-1,34,41
54,2023-12-18T06:32:00.0,1,-1,-1,4.5882986599999995,-1,47,29
55,2023-12-18T06:32:00.0,1,-1,-1,2.7555208400000004,-1,45,39
56,2023-12-18T06:32:00.0,1,-1,-1,4.67941566,-1,17,29
57,2023-12-18T06:32:00.0,1,-1,-1,2.2901154999999997,-1,20,58
58,2023-12-18T06:32:00.0,1,-1,-1,1.4171742200000004,-1,41,22
59,2023-12-18T06:32:00.0,1,-1,-1,3.2372532800000005,-1,5,58
60,2023-12-18T06:32:00.0,1,-1,-1,1.5604390399999999,-1,54,24
61,2023-12-18T06:32:00.0,1,-1,-1,2.5465288,-1,65,24
62,2023-12-18T06:32:00.0,1,-1,-1,4.281958059999999,-1,41,29
63,2023-12-18T06:32:00.0,1,-1,-1,2.3574586600000003,-1,42,39
64,2023-12-18T06:32:00.0,1,-1,-1,3.44446598,-1,17,48
65,2023-12-18T06:32:00.0,1,-1,-1,2.0295965600000003,-1,4,18
66,2023-12-18T06:32:00.0,1,-1,-1,3.4297350400000006,-1,46,12
67,2023-12-18T06:32:00.0,1,-1,-1,3.4500843600000004,-1,45,33
68,2023-12-18T06:32:00.0,1,-1,-1,1.1708951600000002,-1,17,11
69,2023-12-18T06:32:00.0,1,-1,-1,1.1373654800000002,-1,14,62
70,2023-12-18T06:32:00.0,1,-1,-1,2.75208514,-1,36,3
71,2023-12-18T06:32:00.0,1,-1,-1,2.8185906599999995,-1,63,42
72,2023-12-18T06:32:00.0,1,-1,-1,1.2788079600000002,-1,20,46
73,2023-12-18T06:32:00.0,1,-1,-1,3.13621532,-1,59,3
74,2023-12-18T06:33:00.0,2,-1,-1,1.5004953199999997,-1,53,46
75,2023-12-18T06:33:00.0,1,-1,-1,3.6729559400000005,-1,45,37
76,2023-12-18T06:33:00.0,1,-1,-1,1.30377892,-1,1,15
77,2023-12-18T06:33:00.0,1,-1,-1,2.6116531600000004,-1,54,14
78,2023-12-18T06:33:00.0,1,-1,-1,3.4435242800000005,-1,41,61
79,2023-12-18T06:33:00.0,1,-1,-1,1.8426411600000001,-1,11,1
80,2023-12-18T06:33:00.0,1,-1,-1,1.27510738,-1,33,36
81,2023-12-18T06:33:00.0,1,-1,-1,1.30076462,-1,27,48
82,2023-12-18T06:33:00.0,1,-1,-1,3.1519249400000002,-1,12,35
83,2023-12-18T06:33:00.0,1,-1,-1,1.76091622,-1,34,18
84,2023-12-18T06:33:00.0,1,-1,-1,1.6098245400000002,-1,3,11
85,2023-12-18T06:33:00.0,1,-1,-1,1.55125424,-1,63,25
86,2023-12-18T06:33:00.0,1,-1,-1,4.193747,-1,42,29
87,2023-12-18T06:33:00.0,1,-1,-1,1.8426411600000001,-1,11,1
88,2023-12-18T06:33:00.0,1,-1,-1,2.02702946,-1,10,21
89,2023-12-18T06:33:00.0,1,-1,-1,1.20020396,-1,3,4
90,2023-12-18T06:33:00.0,1,-1,-1,1.0681655799999998,-1,49,10
91,2023-12-18T06:33:00.0,1,-1,-1,1.9743458599999997,-1,6,3
92,2023-12-18T06:33:00.0,1,-1,-1,2.7194601800000004,-1,18,9
93,2023-12-18T06:33:00.0,1,-1,-1,1.7434522000000001,-1,16,49
94,2023-12-18T06:33:00.0,1,-1,-1,1.06318876,-1,35,30
95,2023-12-18T06:33:00.0,1,-1,-1,4.20984362,-1,29,54
